order_id,store_id,city,partner_id,promised_time_min,actual_time_min,distance_one_way_km,distance_return_km,delay_reason
O51074,S134,Delhi,P2079,24.0,19,2.18,2.33,
O51075,S129,Delhi,P2281,18.0,28,1.03,0.96,Store Delay
O51076,S128,Bangalore,P2148,27.0,33,1.09,1.11,Traffic
O51077,S123,Delhi,P2055,18.0,10,3.26,2.87,
O51078,S107,Mumbai,P2057,29.0,42,1.47,1.21,Traffic
O51079,S134,Delhi,P2003,21.0,24,1.47,1.23,Store Delay
O51080,S114,Mumbai,P2268,15.0,22,2.54,1.79,Traffic
O51081,S125,Mumbai,P2045,35.0,40,7.37,5.37,Partner Late
O51082,S116,Mumbai,P2280,24.0,31,1.61,1.3,Store Delay
O51083,S117,Delhi,P2104,35.0,41,3.05,2.29,System Issue
O51084,S120,Delhi,P2229,27.0,26,4.66,3.7,
O51085,S102,Delhi,P2237,29.0,41,2.92,3.01,Partner Late
O51086,S120,Delhi,P2025,27.0,30,5.49,4.94,Traffic
O51087,S111,Bangalore,P2129,37.0,32,7.58,6.81,
O51088,S124,Hyderabad,P2065,22.0,32,6.54,5.58,Store Delay
O51089,S102,Delhi,P2088,18.0,19,4.75,5.05,Traffic
O51090,S105,Delhi,P2032,17.0,15,7.62,6.4,
O51091,S114,Mumbai,P2024,24.0,26,7.93,7.27,Partner Late
O51092,S116,Mumbai,P2206,28.0,29,5.9,6.26,Store Delay
O51093,S110,Bangalore,P2255,21.0,17,5.63,4.49,
O51094,S124,Hyderabad,P2088,21.0,32,2.42,2.1,Partner Late
O51095,S100,Mumbai,P2099,23.0,29,3.79,3.83,Traffic
O51096,S105,Delhi,P2206,17.0,23,2.51,2.25,Traffic
O51097,S130,Mumbai,P2139,30.0,39,4.43,3.81,Store Delay
O51098,S101,Bangalore,P2158,24.0,28,2.74,2.65,Store Delay
O51099,S105,Delhi,P2255,17.0,18,0.65,0.7,Store Delay
O51100,S130,Mumbai,P2203,24.0,24,2.03,2.15,
O51101,S134,Delhi,P2272,21.0,32,5.34,4.15,System Issue
O51102,S110,Bangalore,P2183,16.0,22,4.42,3.92,Partner Late
O51103,S133,Delhi,P2198,17.0,17,2.81,2.05,
O51104,S127,Bangalore,P2026,29.0,34,7.17,7.77,Store Delay
O51105,S132,Delhi,P2183,36.0,41,6.7,7.1,Traffic
O51106,S106,Delhi,P2277,17.0,25,2.15,2.28,Store Delay
O51107,S117,Delhi,P2199,34.0,51,3.86,3.84,Store Delay
O51108,S115,Hyderabad,P2061,28.0,25,1.24,1.26,
O51109,S102,Delhi,P2023,23.0,33,6.61,5.04,Partner Late
O51110,S129,Delhi,P2118,31.0,41,5.58,5.58,Store Delay
O51111,S113,Mumbai,P2060,22.0,29,4.78,4.26,Partner Late
O51112,S122,Mumbai,P2296,37.0,33,0.65,0.61,
O51113,S104,Hyderabad,P2249,39.0,44,2.3,2.25,System Issue
O51114,S129,Delhi,P2167,25.0,28,5.89,5.07,Partner Late
O51115,S118,Hyderabad,P2170,15.0,10,1.38,1.28,
O51116,S100,Mumbai,P2242,16.0,18,3.02,2.36,Traffic
O51117,S110,Bangalore,P2064,21.0,22,2.87,3.11,Store Delay
O51118,S113,Mumbai,P2126,23.0,22,6.07,5.8,
O51119,S105,Delhi,P2166,30.0,27,0.6,0.42,
O51120,S110,Bangalore,P2142,15.0,25,2.49,1.89,Traffic
O51121,S111,Bangalore,P2145,22.0,16,7.88,7.86,
O51122,S134,Delhi,P2026,30.0,26,5.21,4.19,
O51123,S104,Hyderabad,P2051,15.0,16,2.54,1.93,Traffic
O51124,S130,Mumbai,P2131,38.0,49,0.72,0.56,Partner Late
O51125,S139,Mumbai,P2269,31.0,41,3.34,3.2,Traffic
O51126,S124,Hyderabad,P2008,17.0,27,7.27,5.83,Store Delay
O51127,S137,Mumbai,P2025,39.0,49,7.63,7.68,Partner Late
O51128,S101,Bangalore,P2263,24.0,19,3.1,2.36,
O51129,S132,Delhi,P2206,25.0,27,2.86,2.22,Traffic
O51130,S104,Hyderabad,P2062,23.0,37,3.62,3.08,Traffic
O51131,S105,Delhi,P2213,21.0,27,3.42,3.36,Partner Late
O51132,S116,Mumbai,P2222,34.0,44,2.36,2.21,Partner Late
O51133,S114,Mumbai,P2080,30.0,43,5.45,5.32,Traffic
O51134,S128,Bangalore,P2034,18.0,21,7.78,6.42,Traffic
O51135,S123,Delhi,P2242,36.0,49,7.27,5.37,
O51136,S115,Hyderabad,P2157,23.0,24,1.22,1.19,Traffic
O51137,S105,Delhi,P2290,16.0,15,0.78,0.56,
O51138,S119,Mumbai,P2031,29.0,34,0.71,0.69,Traffic
O51139,S127,Bangalore,P2290,17.0,16,4.55,4.4,
O51140,S111,Bangalore,P2215,25.0,27,3.7,3.1,Store Delay
O51141,S119,Mumbai,P2253,27.0,35,5.13,4.34,
O51142,S116,Mumbai,P2281,23.0,26,4.71,3.41,Store Delay
O51143,S124,Hyderabad,P2079,28.0,48,1.37,1.37,System Issue
O51144,S123,Delhi,P2272,29.0,36,4.76,3.51,Store Delay
O51145,S112,Delhi,P2284,33.0,41,2.0,1.59,Partner Late
O51146,S137,Mumbai,P2067,22.0,23,6.93,6.31,Traffic
O51147,S115,Hyderabad,P2186,16.0,12,7.31,6.34,
O51148,S109,Delhi,P2148,18.0,24,7.74,8.0,Partner Late
O51149,S137,Mumbai,P2034,37.0,35,7.53,6.25,
O51150,S135,Bangalore,P2166,15.0,13,1.23,0.99,
O51151,S118,Hyderabad,P2202,28.0,34,1.65,1.55,Traffic
O51152,S120,Delhi,P2031,38.0,49,3.86,3.83,Store Delay
O51153,S139,Mumbai,P2268,30.0,27,1.23,1.3,
O51154,S115,Hyderabad,P2040,24.0,33,1.87,1.84,Traffic
O51155,S115,Hyderabad,P2252,20.0,37,2.76,2.58,Partner Late
O51156,S105,Delhi,P2175,18.0,43,2.76,2.35,Store Delay
O51157,S128,Bangalore,P2124,37.0,45,4.61,5.01,Traffic
O51158,S113,Mumbai,P2107,16.0,11,2.18,1.94,
O51159,S125,Mumbai,P2232,32.0,49,5.51,4.73,Partner Late
O51160,S100,Mumbai,P2199,34.0,31,1.58,1.52,
O51161,S118,Hyderabad,P2172,27.0,33,7.34,5.41,Traffic
O51162,S125,Mumbai,P2206,25.0,42,1.03,0.8,Store Delay
O51163,S111,Bangalore,P2108,21.0,25,5.83,5.9,Traffic
O51164,S121,Hyderabad,P2295,23.0,29,1.97,1.67,Traffic
O51165,S106,Delhi,P2160,38.0,40,6.94,6.66,System Issue
O51166,S124,Hyderabad,P2270,39.0,39,5.84,5.91,
O51167,S116,Mumbai,P2204,18.0,24,7.31,6.33,Traffic
O51168,S136,Bangalore,P2200,35.0,43,6.94,5.34,Store Delay
O51169,S139,Mumbai,P2019,39.0,41,4.6,4.56,Partner Late
O51170,S111,Bangalore,P2077,25.0,44,1.8,1.31,Partner Late
O51171,S102,Delhi,P2056,15.0,19,3.71,2.85,Partner Late
O51172,S105,Delhi,P2017,30.0,31,1.17,1.0,Store Delay
O51173,S104,Hyderabad,P2085,26.0,32,2.05,2.06,Weather
O51174,S108,Mumbai,P2146,31.0,32,7.42,6.69,Partner Late
O51175,S137,Mumbai,P2174,20.0,31,6.35,6.08,Store Delay
O51176,S112,Delhi,P2155,19.0,31,1.07,0.79,
O51177,S109,Delhi,P2195,33.0,36,6.06,4.77,Store Delay
O51178,S105,Delhi,P2286,20.0,19,6.43,4.51,
O51179,S119,Mumbai,P2007,39.0,45,3.34,3.48,Weather
O51180,S136,Bangalore,P2265,21.0,29,5.46,4.61,Traffic
O51181,S130,Mumbai,P2148,15.0,25,0.59,0.63,Partner Late
O51182,S103,Bangalore,P2001,16.0,21,5.01,4.54,
O51183,S101,Bangalore,P2204,33.0,34,5.95,5.91,Partner Late
O51184,S137,Mumbai,P2075,19.0,12,5.69,6.26,
O51185,S107,Mumbai,P2267,18.0,17,6.13,5.62,
O51186,S138,Delhi,P2007,39.0,38,2.85,2.01,
O51187,S121,Hyderabad,P2070,34.0,20,7.55,7.7,
O51188,S110,Bangalore,P2108,22.0,32,0.82,0.74,
O51189,S135,Bangalore,P2034,32.0,36,7.32,7.5,Store Delay
O51190,S107,Mumbai,P2219,31.0,38,6.98,6.65,Store Delay
O51191,S128,Bangalore,P2227,33.0,45,0.69,0.54,Store Delay
O51192,S129,Delhi,P2197,24.0,29,4.92,5.05,Traffic
O51193,S138,Delhi,P2095,33.0,26,1.56,1.3,
O51194,S122,Mumbai,P2135,30.0,36,3.37,3.03,Store Delay
O51195,S101,Bangalore,P2070,20.0,30,1.54,1.12,Partner Late
O51196,S132,Delhi,P2130,36.0,49,0.74,0.59,Weather
O51197,S135,Bangalore,P2191,34.0,41,7.78,7.01,Weather
O51198,S137,Mumbai,P2116,21.0,32,6.18,4.77,Store Delay
O51199,S119,Mumbai,P2140,27.0,41,3.64,3.47,Store Delay
O51200,S127,Bangalore,P2181,29.0,49,3.6,3.14,Traffic
O51201,S123,Delhi,P2028,17.0,13,7.56,6.2,
O51202,S117,Delhi,P2298,28.0,-10,1.25,0.9,Partner Late
O51203,S135,Bangalore,P2079,24.0,35,3.05,2.27,
O51204,S113,Mumbai,P2112,21.0,30,6.52,6.69,Traffic
O51205,S118,Hyderabad,P2218,20.0,33,7.25,5.43,Traffic
O51206,S104,Hyderabad,P2061,18.0,21,6.14,5.26,Traffic
O51207,S134,Delhi,P2212,37.0,40,1.79,1.48,Partner Late
O51208,S117,Delhi,P2035,38.0,-10,7.64,5.49,Store Delay
O51209,S101,Bangalore,P2153,36.0,51,7.46,5.37,Traffic
O51210,S110,Bangalore,P2207,32.0,44,3.2,2.9,Store Delay
O51211,S131,Delhi,P2286,34.0,32,4.21,4.52,
O51212,S103,Bangalore,P2026,27.0,26,2.17,1.83,
O51213,S101,Bangalore,P2202,39.0,42,2.29,2.41,Traffic
O51214,S136,Bangalore,P2106,26.0,47,6.9,5.44,Partner Late
O51215,S133,Delhi,P2288,36.0,42,0.86,0.88,Store Delay
O51216,S114,Mumbai,P2000,31.0,31,5.38,4.17,
O51217,S100,Mumbai,P2090,17.0,27,5.08,5.09,Store Delay
O51218,S116,Mumbai,P2203,28.0,34,7.6,6.67,
O51219,S121,Hyderabad,P2096,19.0,22,1.22,1.03,Store Delay
O51220,S111,Bangalore,P2056,15.0,18,2.5,2.24,Traffic
O51221,S103,Bangalore,P2069,20.0,27,2.05,2.15,Traffic
O51222,S138,Delhi,P2139,23.0,26,1.99,2.01,Traffic
O51223,S131,Delhi,P2092,39.0,49,7.07,5.94,System Issue
O51224,S125,Mumbai,P2017,36.0,31,5.77,4.77,
O51225,S118,Hyderabad,P2286,15.0,10,4.92,5.23,
O51226,S125,Mumbai,P2224,17.0,30,5.22,5.57,Partner Late
O51227,S122,Mumbai,P2191,21.0,18,5.32,5.23,
O51228,S100,Mumbai,P2134,28.0,22,1.42,1.52,
O51229,S129,Delhi,P2183,31.0,32,5.78,4.13,Traffic
O51230,S126,Delhi,P2166,39.0,38,1.1,0.95,
O51231,S104,Hyderabad,P2238,31.0,37,7.25,6.95,Traffic
O51232,S103,Bangalore,P2194,20.0,21,3.35,3.42,Traffic
O51233,S127,Bangalore,P2189,31.0,28,7.17,7.63,
O51234,S109,Delhi,P2013,18.0,23,6.93,6.05,
O51235,S103,Bangalore,P2178,39.0,41,0.67,0.59,Store Delay
O51236,S106,Delhi,P2236,21.0,36,6.65,5.49,Traffic
O51237,S137,Mumbai,P2174,36.0,41,1.52,1.45,System Issue
O51238,S135,Bangalore,P2131,31.0,45,5.37,4.7,System Issue
O51239,S116,Mumbai,P2243,33.0,37,6.74,6.3,System Issue
O51240,S114,Mumbai,P2184,23.0,27,0.84,0.82,Store Delay
O51241,S137,Mumbai,P2026,20.0,17,7.19,6.68,
O51242,S122,Mumbai,P2089,34.0,33,5.54,4.45,
O51243,S118,Hyderabad,P2286,15.0,13,6.53,5.48,
O51244,S102,Delhi,P2042,18.0,14,2.9,2.48,
O51245,S133,Delhi,P2223,22.0,38,7.88,6.9,Store Delay
O51246,S110,Bangalore,P2251,23.0,37,3.58,3.15,Traffic
O51247,S135,Bangalore,P2287,30.0,32,2.43,1.86,Store Delay
O51248,S104,Hyderabad,P2298,23.0,18,3.38,3.18,
O51249,S108,Mumbai,P2259,29.0,28,5.25,5.63,
O51250,S123,Delhi,P2078,35.0,42,3.85,3.63,Store Delay
O51251,S131,Delhi,P2057,24.0,25,1.73,1.81,Partner Late
O51252,S137,Mumbai,P2193,16.0,30,7.35,7.53,Traffic
O51253,S110,Bangalore,P2253,22.0,22,2.79,2.9,
O51254,S137,Mumbai,P2136,25.0,32,1.22,0.85,Store Delay
O51255,S139,Mumbai,P2076,15.0,12,5.53,4.27,
O51256,S103,Bangalore,P2069,29.0,39,5.71,4.24,Store Delay
O51257,S133,Delhi,P2107,26.0,32,1.43,1.08,Traffic
O51258,S102,Delhi,P2216,31.0,50,4.07,3.61,Weather
O51259,S125,Mumbai,P2161,22.0,32,5.65,4.48,Store Delay
O51260,S109,Delhi,P2222,37.0,39,1.65,1.5,Weather
O51261,S103,Bangalore,P2274,20.0,24,2.25,1.72,Weather
O51262,S130,Mumbai,P2083,19.0,24,1.02,0.77,Traffic
O51263,S128,Bangalore,P2008,36.0,42,5.43,4.99,Traffic
O51264,S121,Hyderabad,P2270,37.0,35,3.4,3.51,
O51265,S126,Delhi,P2258,37.0,39,1.43,1.17,Weather
O51266,S135,Bangalore,P2095,37.0,41,2.0,1.91,Store Delay
O51267,S112,Delhi,P2116,34.0,47,7.67,6.18,Store Delay
O51268,S118,Hyderabad,P2049,32.0,24,5.44,4.01,
O51269,S121,Hyderabad,P2134,37.0,44,5.86,5.91,Traffic
O51270,S103,Bangalore,P2195,33.0,32,5.14,3.97,
O51271,S100,Mumbai,P2124,28.0,53,6.73,4.89,Store Delay
O51272,S119,Mumbai,P2186,22.0,27,7.82,7.42,Traffic
O51273,S100,Mumbai,P2218,22.0,20,1.81,1.97,
O51274,S105,Delhi,P2074,18.0,28,0.9,0.88,Store Delay
O51275,S121,Hyderabad,P2103,30.0,38,4.14,3.62,Traffic
O51276,S105,Delhi,P2175,20.0,38,4.41,3.51,Store Delay
O51277,S138,Delhi,P2299,22.0,26,5.38,5.2,
O51278,S137,Mumbai,P2184,28.0,29,4.81,3.61,Store Delay
O51279,S115,Hyderabad,P2043,36.0,32,2.86,2.1,
O51280,S117,Delhi,P2062,38.0,39,7.53,8.12,System Issue
O51281,S128,Bangalore,P2297,34.0,51,5.37,5.21,Store Delay
O51282,S124,Hyderabad,P2151,37.0,32,7.43,5.69,
O51283,S111,Bangalore,P2289,31.0,36,5.55,5.54,Traffic
O51284,S130,Mumbai,P2119,38.0,35,4.36,4.5,
O51285,S129,Delhi,P2249,34.0,30,5.17,5.65,
O51286,S127,Bangalore,P2111,29.0,35,1.78,1.88,Partner Late
O51287,S132,Delhi,P2226,27.0,19,0.93,0.66,
O51288,S103,Bangalore,P2226,30.0,-10,6.26,6.35,Traffic
O51289,S104,Hyderabad,P2111,36.0,44,0.98,1.07,Store Delay
O51290,S102,Delhi,P2286,28.0,39,2.55,2.55,Traffic
O51291,S107,Mumbai,P2156,35.0,21,0.78,0.6,
O51292,S102,Delhi,P2122,38.0,39,3.54,3.37,Store Delay
O51293,S108,Mumbai,P2117,27.0,20,7.67,8.34,
O51294,S115,Hyderabad,P2276,28.0,32,1.36,1.05,Traffic
O51295,S124,Hyderabad,P2263,34.0,44,6.01,4.92,Traffic
O51296,S120,Delhi,P2136,25.0,38,2.47,2.55,Partner Late
O51297,S135,Bangalore,P2051,38.0,39,3.32,2.62,Store Delay
O51298,S110,Bangalore,P2133,33.0,32,6.45,5.55,
O51299,S108,Mumbai,P2285,37.0,54,6.15,5.97,
O51300,S103,Bangalore,P2280,35.0,35,1.9,1.89,
O51301,S110,Bangalore,P2110,37.0,39,7.93,8.16,Traffic
O51302,S132,Delhi,P2219,17.0,14,4.04,4.32,
O51303,S138,Delhi,P2292,37.0,43,4.51,4.09,Store Delay
O51304,S126,Delhi,P2102,30.0,22,6.51,6.8,
O51305,S108,Mumbai,P2110,25.0,28,5.23,4.16,Partner Late
O51306,S105,Delhi,P2218,20.0,39,2.25,1.7,Traffic
O51307,S106,Delhi,P2290,16.0,20,2.46,2.52,System Issue
O51308,S129,Delhi,P2072,26.0,33,6.64,6.21,Traffic
O51309,S119,Mumbai,P2261,19.0,35,3.15,2.37,Weather
O51310,S114,Mumbai,P2126,33.0,33,5.03,5.5,
O51311,S122,Mumbai,P2263,25.0,27,6.88,6.69,Partner Late
O51312,S124,Hyderabad,P2287,21.0,18,4.13,4.13,
O51313,S123,Delhi,P2129,28.0,27,5.0,5.16,
O51314,S131,Delhi,P2244,37.0,42,1.69,1.84,System Issue
O51315,S121,Hyderabad,P2135,27.0,34,1.77,1.76,Store Delay
O51316,S111,Bangalore,P2237,28.0,43,2.75,2.79,System Issue
O51317,S119,Mumbai,P2193,15.0,23,5.52,5.81,Store Delay
O51318,S130,Mumbai,P2216,26.0,39,1.69,1.32,Store Delay
O51319,S126,Delhi,P2155,28.0,29,7.11,7.02,Partner Late
O51320,S133,Delhi,P2157,35.0,43,6.57,6.41,Store Delay
O51321,S116,Mumbai,P2174,33.0,40,0.82,0.82,Partner Late
O51322,S121,Hyderabad,P2296,34.0,39,6.5,6.18,Partner Late
O51323,S108,Mumbai,P2247,20.0,22,1.38,1.35,Store Delay
O51324,S114,Mumbai,P2185,15.0,16,5.2,3.76,Partner Late
O51325,S109,Delhi,P2276,29.0,37,3.49,3.3,System Issue
O51326,S105,Delhi,P2099,28.0,37,3.16,2.75,Store Delay
O51327,S126,Delhi,P2066,33.0,38,3.77,3.15,Store Delay
O51328,S105,Delhi,P2019,27.0,43,1.18,1.01,Store Delay
O51329,S130,Mumbai,P2029,24.0,35,6.47,5.75,Partner Late
O51330,S130,Mumbai,P2057,15.0,14,3.64,3.56,
O51331,S105,Delhi,P2010,28.0,49,0.51,0.41,Store Delay
O51332,S120,Delhi,P2155,26.0,33,5.02,3.88,Partner Late
O51333,S127,Bangalore,P2068,33.0,43,7.75,6.16,Weather
O51334,S136,Bangalore,P2052,25.0,29,4.45,3.99,Partner Late
O51335,S139,Mumbai,P2153,17.0,36,1.91,1.48,Traffic
O51336,S125,Mumbai,P2085,28.0,32,3.14,2.2,Store Delay
O51337,S109,Delhi,P2017,19.0,29,1.53,1.11,Traffic
O51338,S104,Hyderabad,P2278,16.0,32,2.56,2.6,Store Delay
O51339,S100,Mumbai,P2257,31.0,40,2.49,2.06,Store Delay
O51340,S134,Delhi,P2277,35.0,50,5.74,5.11,Store Delay
O51341,S124,Hyderabad,P2195,22.0,39,3.04,2.66,Weather
O51342,S106,Delhi,P2069,30.0,29,1.77,1.46,
O51343,S120,Delhi,P2240,23.0,20,5.84,4.29,
O51344,S108,Mumbai,P2011,27.0,46,2.56,1.79,Store Delay
O51345,S122,Mumbai,P2298,39.0,50,1.89,1.99,Partner Late
O51346,S124,Hyderabad,P2193,36.0,54,7.91,7.85,Store Delay
O51347,S103,Bangalore,P2177,35.0,40,6.66,5.6,Store Delay
O51348,S127,Bangalore,P2243,25.0,32,1.76,1.78,Partner Late
O51349,S124,Hyderabad,P2203,31.0,41,7.23,6.2,Partner Late
O51350,S116,Mumbai,P2179,37.0,38,1.94,2.07,Traffic
O51351,S102,Delhi,P2147,25.0,34,1.26,1.2,Traffic
O51352,S106,Delhi,P2073,29.0,28,5.89,5.37,
O51353,S134,Delhi,P2191,24.0,38,6.23,4.51,Store Delay
O51354,S103,Bangalore,P2113,30.0,34,4.38,4.0,Store Delay
O51355,S107,Mumbai,P2135,29.0,34,4.78,5.25,Partner Late
O51356,S134,Delhi,P2214,29.0,53,4.79,3.81,Traffic
O51357,S136,Bangalore,P2011,26.0,39,1.77,1.26,Partner Late
O51358,S136,Bangalore,P2055,19.0,14,4.54,3.96,
O51359,S127,Bangalore,P2020,26.0,43,3.05,2.87,Partner Late
O51360,S106,Delhi,P2004,26.0,32,6.38,6.85,Traffic
O51361,S127,Bangalore,P2074,31.0,44,1.41,1.43,Store Delay
O51362,S100,Mumbai,P2194,28.0,30,7.83,7.66,Store Delay
O51363,S127,Bangalore,P2129,37.0,40,4.65,4.38,Traffic
O51364,S127,Bangalore,P2214,28.0,33,0.88,0.76,Traffic
O51365,S121,Hyderabad,P2257,18.0,20,4.09,4.18,Traffic
O51366,S134,Delhi,P2058,28.0,27,6.66,4.78,
O51367,S101,Bangalore,P2252,30.0,46,3.36,2.4,Traffic
O51368,S113,Mumbai,P2160,15.0,19,4.51,4.09,System Issue
O51369,S135,Bangalore,P2247,29.0,24,4.75,4.86,
O51370,S109,Delhi,P2271,25.0,20,1.56,1.52,
O51371,S124,Hyderabad,P2197,38.0,46,5.67,4.65,Store Delay
O51372,S137,Mumbai,P2233,38.0,53,7.07,5.66,Traffic
O51373,S108,Mumbai,P2014,28.0,37,4.57,4.29,Traffic
O51374,S108,Mumbai,P2251,36.0,43,7.88,8.23,Store Delay
O51375,S134,Delhi,P2236,26.0,22,4.76,4.04,
O51376,S133,Delhi,P2184,39.0,34,4.67,3.82,
O51377,S132,Delhi,P2261,15.0,12,6.8,5.4,
O51378,S124,Hyderabad,P2041,36.0,35,4.07,4.07,
O51379,S119,Mumbai,P2242,31.0,35,7.4,7.36,Partner Late
O51380,S125,Mumbai,P2226,22.0,26,5.65,4.79,Traffic
O51381,S119,Mumbai,P2233,37.0,34,0.99,1.04,
O51382,S106,Delhi,P2260,34.0,40,3.38,3.22,Partner Late
O51383,S112,Delhi,P2224,21.0,17,2.89,2.56,
O51384,S122,Mumbai,P2255,,38,6.94,5.92,Partner Late
O51385,S125,Mumbai,P2187,30.0,32,7.27,7.5,Store Delay
O51386,S124,Hyderabad,P2117,37.0,42,5.81,6.16,Partner Late
O51387,S116,Mumbai,P2163,18.0,15,2.18,1.73,
O51388,S105,Delhi,P2059,22.0,34,0.51,0.56,Weather
O51389,S112,Delhi,P2089,39.0,48,2.81,2.46,Store Delay
O51390,S108,Mumbai,P2087,38.0,54,6.79,5.1,Partner Late
O51391,S100,Mumbai,P2076,32.0,24,6.61,5.88,
O51392,S121,Hyderabad,P2207,39.0,59,7.21,6.15,Weather
O51393,S121,Hyderabad,P2115,34.0,44,0.66,0.47,Store Delay
O51394,S110,Bangalore,P2086,19.0,19,1.92,1.73,
O51395,S123,Delhi,P2245,21.0,29,4.55,3.88,Store Delay
O51396,S114,Mumbai,P2081,27.0,29,3.11,3.17,Partner Late
O51397,S110,Bangalore,P2176,25.0,32,3.9,3.86,Store Delay
O51398,S130,Mumbai,P2239,29.0,40,6.4,4.64,Partner Late
O51399,S107,Mumbai,P2075,39.0,53,2.08,1.61,Traffic
O51400,S117,Delhi,P2234,25.0,35,3.62,3.09,Weather
O51401,S120,Delhi,P2142,27.0,36,4.11,3.07,Partner Late
O51402,S110,Bangalore,P2181,29.0,37,2.74,2.15,Store Delay
O51403,S126,Delhi,P2202,33.0,39,2.64,2.28,Traffic
O51404,S137,Mumbai,P2156,34.0,44,2.95,2.92,Store Delay
O51405,S101,Bangalore,P2167,22.0,35,3.84,2.96,Traffic
O51406,S107,Mumbai,P2215,35.0,39,7.14,7.35,Partner Late
O51407,S123,Delhi,P2132,16.0,10,2.84,2.75,
O51408,S139,Mumbai,P2141,19.0,20,7.54,6.27,Store Delay
O51409,S100,Mumbai,P2236,27.0,29,4.99,4.54,Traffic
O51410,S106,Delhi,P2224,24.0,34,6.74,4.74,System Issue
O51411,S103,Bangalore,P2006,27.0,30,5.79,5.11,Traffic
O51412,S122,Mumbai,P2220,15.0,19,4.85,5.11,Weather
O51413,S128,Bangalore,P2230,33.0,39,2.79,2.28,Store Delay
O51414,S121,Hyderabad,P2197,20.0,22,6.49,6.7,Traffic
O51415,S117,Delhi,P2000,28.0,32,7.89,7.91,Partner Late
O51416,S120,Delhi,P2076,23.0,31,4.87,3.92,Store Delay
O51417,S133,Delhi,P2143,36.0,42,4.73,3.83,Traffic
O51418,S124,Hyderabad,P2199,23.0,19,3.62,2.79,
O51419,S139,Mumbai,P2178,34.0,45,2.64,2.76,Traffic
O51420,S111,Bangalore,P2250,35.0,33,3.2,3.17,
O51421,S110,Bangalore,P2050,21.0,34,5.2,4.46,Traffic
O51422,S132,Delhi,P2070,32.0,32,1.83,1.55,
O51423,S121,Hyderabad,P2095,27.0,52,1.17,1.17,Traffic
O51424,S133,Delhi,P2151,29.0,28,3.01,3.09,
O51425,S127,Bangalore,P2184,17.0,16,7.52,5.29,
O51426,S101,Bangalore,P2105,37.0,34,2.19,2.04,
O51427,S118,Hyderabad,P2203,26.0,22,0.85,0.86,
O51428,S119,Mumbai,P2128,24.0,34,6.51,6.24,Store Delay
O51429,S109,Delhi,P2100,26.0,28,3.58,2.55,Partner Late
O51430,S105,Delhi,P2280,21.0,31,2.75,2.91,Store Delay
O51431,S123,Delhi,P2251,30.0,37,3.83,2.92,Store Delay
O51432,S125,Mumbai,P2032,16.0,41,7.09,5.45,
O51433,S109,Delhi,P2102,37.0,30,7.2,6.27,
O51434,S110,Bangalore,P2118,25.0,19,0.54,0.55,
O51435,S128,Bangalore,P2035,36.0,44,7.58,7.25,Traffic
O51436,S115,Hyderabad,P2275,39.0,48,4.24,3.72,Traffic
O51437,S137,Mumbai,P2025,20.0,21,0.81,0.89,Traffic
O51438,S105,Delhi,P2044,37.0,54,5.47,4.87,
O51439,S136,Bangalore,P2152,39.0,41,6.77,5.81,Partner Late
O51440,S126,Delhi,P2135,22.0,34,6.17,5.49,System Issue
O51441,S119,Mumbai,P2270,26.0,18,6.15,5.55,
O51442,S115,Hyderabad,P2285,29.0,51,3.14,2.95,Store Delay
O51443,S104,Hyderabad,P2162,32.0,34,1.16,1.14,Store Delay
O51444,S103,Bangalore,P2206,24.0,35,1.43,1.22,System Issue
O51445,S106,Delhi,P2252,35.0,31,3.34,2.63,
O51446,S133,Delhi,P2075,19.0,24,8.0,7.75,Traffic
O51447,S109,Delhi,P2205,27.0,49,2.21,2.16,Weather
O51448,S128,Bangalore,P2147,31.0,38,7.93,7.96,Store Delay
O51449,S116,Mumbai,P2054,35.0,43,2.63,2.18,Traffic
O51450,S139,Mumbai,P2243,32.0,34,7.24,6.97,Weather
O51451,S127,Bangalore,P2188,37.0,40,5.66,6.2,Traffic
O51452,S134,Delhi,P2096,36.0,34,4.97,4.69,
O51453,S116,Mumbai,P2231,28.0,34,7.0,5.02,System Issue
O51454,S106,Delhi,P2268,33.0,33,1.96,1.57,
O51455,S121,Hyderabad,P2042,19.0,27,4.63,4.28,Partner Late
O51456,S111,Bangalore,P2209,35.0,33,6.16,6.76,
O51457,S109,Delhi,P2217,15.0,20,5.8,5.75,Weather
O51458,S119,Mumbai,P2131,20.0,38,5.04,5.13,Store Delay
O51459,S110,Bangalore,P2298,26.0,30,5.89,5.75,
O51460,S138,Delhi,P2221,36.0,42,4.63,3.66,
O51461,S123,Delhi,P2197,18.0,20,3.69,3.93,Weather
O51462,S126,Delhi,P2077,25.0,28,3.12,3.2,Traffic
O51463,S130,Mumbai,P2102,32.0,42,6.41,6.89,Store Delay
O51464,S132,Delhi,P2068,17.0,20,5.96,4.98,Store Delay
O51465,S122,Mumbai,P2085,33.0,45,4.13,3.31,
O51466,S113,Mumbai,P2176,21.0,27,3.38,2.47,Weather
O51467,S125,Mumbai,P2024,29.0,39,7.17,7.63,Partner Late
O51468,S116,Mumbai,P2228,23.0,26,6.75,4.91,Traffic
O51469,S139,Mumbai,P2229,24.0,37,7.91,8.06,Weather
O51470,S131,Delhi,P2025,17.0,17,1.39,1.1,
O51471,S129,Delhi,P2223,35.0,23,4.72,3.57,
